Date : 2025-10-23 08:08:05
Directory : d:\Tuanjie Projects\UGJ2025\Assets
Total : 136 files,  20495 codes, 2168 comments, 2882 blanks, all 25545 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         68 |     10,422 |      2,027 |      1,878 |     14,327 |
| XML         |          6 |      5,966 |          0 |          7 |      5,973 |
| UnityShader |         43 |      3,633 |        141 |        914 |      4,688 |
| Markdown    |         12 |        294 |          0 |         78 |        372 |
| JSON        |          7 |        180 |          0 |          5 |        185 |
+-------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        136 |     20,495 |      2,168 |      2,882 |     25,545 |
| . (Files)                                                                                              |          4 |        530 |         59 |         80 |        669 |
| IMG                                                                                                    |          2 |         55 |          5 |          4 |         64 |
| IMG\guochang                                                                                           |          1 |         18 |          2 |          3 |         23 |
| IMG\mouse                                                                                              |          1 |         37 |          3 |          1 |         41 |
| Plugins                                                                                                |         25 |      9,755 |      1,144 |        517 |     11,416 |
| Plugins\Demigiant                                                                                      |         25 |      9,755 |      1,144 |        517 |     11,416 |
| Plugins\Demigiant\DOTween                                                                              |         11 |      4,531 |        555 |        225 |      5,311 |
| Plugins\Demigiant\DOTween (Files)                                                                      |          1 |      3,089 |          0 |          1 |      3,090 |
| Plugins\Demigiant\DOTweenPro                                                                           |         12 |      2,589 |        589 |        289 |      3,467 |
| Plugins\Demigiant\DOTweenPro (Files)                                                                   |          8 |      1,657 |        547 |        200 |      2,404 |
| Plugins\Demigiant\DOTweenPro\Editor                                                                    |          4 |        932 |         42 |         89 |      1,063 |
| Plugins\Demigiant\DOTween\Editor                                                                       |          1 |        144 |          0 |          1 |        145 |
| Plugins\Demigiant\DOTween\Modules                                                                      |          9 |      1,298 |        555 |        223 |      2,076 |
| Plugins\Demigiant\DemiLib                                                                              |          2 |      2,635 |          0 |          3 |      2,638 |
| Plugins\Demigiant\DemiLib\Core                                                                         |          2 |      2,635 |          0 |          3 |      2,638 |
| Plugins\Demigiant\DemiLib\Core (Files)                                                                 |          1 |        230 |          0 |          2 |        232 |
| Plugins\Demigiant\DemiLib\Core\Editor                                                                  |          1 |      2,405 |          0 |          1 |      2,406 |
| SDF Toolkit                                                                                            |          2 |        424 |        134 |         51 |        609 |
| SDF Toolkit (Files)                                                                                    |          1 |        268 |        124 |         25 |        417 |
| SDF Toolkit\Editor                                                                                     |          1 |        156 |         10 |         26 |        192 |
| Scripts                                                                                                |         53 |      5,683 |        663 |      1,254 |      7,600 |
| Scripts (Files)                                                                                        |         20 |      1,859 |        136 |        419 |      2,414 |
| Scripts\.VSCodeCounter                                                                                 |         15 |        297 |          0 |         78 |        375 |
| Scripts\.VSCodeCounter\2025-09-26_11-07-53                                                             |          5 |         84 |          0 |         26 |        110 |
| Scripts\.VSCodeCounter\2025-10-11_19-20-37                                                             |          5 |        109 |          0 |         26 |        135 |
| Scripts\.VSCodeCounter\2025-10-18_12-31-01                                                             |          5 |        104 |          0 |         26 |        130 |
| Scripts\Audio                                                                                          |          2 |        109 |          2 |         23 |        134 |
| Scripts\CardData                                                                                       |          1 |         47 |          5 |         10 |         62 |
| Scripts\DialogueTest                                                                                   |          4 |      1,645 |        351 |        317 |      2,313 |
| Scripts\Map                                                                                            |          3 |        169 |         18 |         30 |        217 |
| Scripts\Room                                                                                           |          6 |      1,541 |        151 |        373 |      2,065 |
| Scripts\_SciptableObjects                                                                              |          1 |          9 |          0 |          2 |         11 |
| Scripts\_Utility                                                                                       |          1 |          7 |          0 |          2 |          9 |
| Shader                                                                                                 |         26 |      1,254 |         57 |        258 |      1,569 |
| ShaderGraph                                                                                            |          1 |         76 |          2 |         17 |         95 |
| Shader\Scripts                                                                                         |         26 |      1,254 |         57 |        258 |      1,569 |
| Shader\Scripts\Color                                                                                   |         16 |        812 |         39 |        171 |      1,022 |
| Shader\Scripts\UV                                                                                      |         10 |        442 |         18 |         87 |        547 |
| TextMesh Pro                                                                                           |         18 |      2,493 |         82 |        646 |      3,221 |
| TextMesh Pro\Shaders                                                                                   |         17 |      2,338 |         82 |        644 |      3,064 |
| TextMesh Pro\Sprites                                                                                   |          1 |        155 |          0 |          2 |        157 |
| UI                                                                                                     |          5 |        225 |         22 |         55 |        302 |
| UI\UI_script                                                                                           |          5 |        225 |         22 |         55 |        302 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                               | language    | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| d:\Tuanjie Projects\UGJ2025\Assets\BattleDialogue.cs                                                   | C#          |         32 |          2 |          5 |         39 |
| d:\Tuanjie Projects\UGJ2025\Assets\DialogueCharacterManager.cs                                         | C#          |         58 |         12 |          7 |         77 |
| d:\Tuanjie Projects\UGJ2025\Assets\DialogueSystem.cs                                                   | C#          |        281 |         35 |         37 |        353 |
| d:\Tuanjie Projects\UGJ2025\Assets\IMG\guochang\WormWiggle.cs                                          | C#          |         18 |          2 |          3 |         23 |
| d:\Tuanjie Projects\UGJ2025\Assets\IMG\mouse\CursorChange.cs                                           | C#          |         37 |          3 |          1 |         41 |
| d:\Tuanjie Projects\UGJ2025\Assets\MapGridManager.cs                                                   | C#          |        159 |         10 |         31 |        200 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenAnimation.cs                    | C#          |        677 |        167 |         74 |        918 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeAudio.cs                      | C#          |          2 |          5 |          3 |         10 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenDeUnityExtended.cs              | C#          |          2 |          5 |          3 |         10 |
