Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched
Start,0,,,,1,POKER国，四王子Heart的房间中。,1,
#,1,Heart,sad,左,2,"……
今天……",,
#,2,Maid,yansu,右,3,主人。主人？,,
#,3,Heart,jingyal,左,4,——！,,
#,4,Heart,jingyas,左,5,Maid？,,
#,5,Maid,biyan,右,6,到您的回合了。,,
#,6,Heart,normal,左,7,呃？,,
#,7,Maid,yansu2,右,8,主人，请您集中注意力。练习也需认真对待。,,
#,8,Maid,yansu3,右,9,容我为您重温Poker国的战斗礼仪。,,
#,9,Maid,yansu3,右,10,POKER国的传统是礼尚往来，行动依回合而行。,,
#,10,Maid,yansu3,右,11,移动与打出卡牌会消耗您的行动点，当行动点归零，此回合便告终结。,,
#,11,Maid,yansu3,右,12,第一回合，您将获得7张卡牌。,,
#,12,Maid,yansu3,右,13,随后每打出一张牌，都将从卡池中抽取新的卡牌，使您的手牌维持在最大容量。,,
#,13,Maid,yansu3,右,14,如果您遗忘了卡牌的用法——请点击进行复习。,,
#,14,Maid,normal,右,E,来吧，运用您的策略，击败面前的假想敌。,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
