Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched
Start,0,Servant1,,,1,Spade殿下……我不敢相信她真的离开了我们。,,
#,1,Servant2,,,2,明明就在昨天，她还笑着握住我的双手，告诉我这么努力工作真是辛苦啦，让我赶紧休息一小会儿。,,
#,2,Servant3,,,3,多亏了她常来探望我们，为我们争取房间修葺，我们才有了铜艺的床架和镜子，还有衣柜——终于让这里温馨一些。,,
#,3,Heart,chouchang,左,4,……大家都很敬爱姐姐。,,
#,4,Servant1,,,5,！？,,
#,5,Servant2,,,6,！？？,,
#,6,Servant3,,,7,那位殿下……竟然会来这里？,,
#,7,Servant2,,,8,真是稀奇。我还以为他和Diamond殿下一样，从不在意我们这些仆人的死活。,,
#,8,Servant1,,,9,唉……Spade殿下的事，恐怕和王室内部脱不了干系。Diamond殿下觊觎王位已久，拒绝承认广受支持的Spade殿下，眼看大势已去，难保不会……那个疯王子，什么都做得出来……,,
#,9,Servant2,,,10,Club殿下也有嫌疑。谁不知道她战功赫赫，心高气傲？若是嫉妒Spade殿下的威望，又被轻易挑拨——以她的性格和手段，也不是不可能……,,
#,10,Servant2,,,11,对，听说Club殿下听到消息马上就动身回来了，Club殿下与Diamond殿下也不合吧！从未见过两人说过一句话。,,
#,11,Servant1,,,12,说起来，……听说Heart王子不是和殿下最亲近吗？,,
#,12,Heart,fan,左,13,……我正站在你面前。,,
#,13,Servant3,,,14,（不理他）我早听说，王室子嗣之间不和已久，平时从未齐聚一堂过，就连在破茧节都不愿围坐在同一张桌子旁。这样若有若无的亲近，谁知道是逢场作戏，还是一贯的笑里藏刀？没有人不向往权力。,,
#,14,Servant2,,,15,夜深了，这个小王子还在城堡里游荡，背着这么鲜红的天色……仿佛秘密地寻找着什么、掩饰着什么……他也有嫌疑！,,
#,15,Heart,ding,左,16,不，请相信我……我正在搜集皇姐被谋杀的证据与她身体的残骸。我和你们一样难受，若你们真的爱戴她，请告诉我相关线索，助我一臂之力。,,
#,16,Servant2,,,17,相信？对，我们当然相信您——,,
#,17,Servant2,,,18,一位从未来探望过我们，也从不关心我们的粮食是否被层层克扣、我们是否正徘徊饿死边缘的皇子。,,
#,18,Servant2,,,19,傲慢的上位者哟，谁不是喝着上等酒吃着上等草蕨，傲慢地利用着殿下的一切美德与贡献，来为自己争取民众的支持？游说也好，施贿也好……我们可都清楚谁才是真正为民众着想的人。,,
#,19,Servant1,,,20,还是殿下发明了杂交苔藓，与J相与K相沟通规定用膳分配比例，我们底层小人才终于填饱肚子。……你知道些什么？你对我们尚且漠不关心，怎会真心实意想要拯救殿下！,,
#,20,Heart,chouchang,左,21,……我很抱歉，我此前完全不了解你们的遭遇，这并非我分内之事。我的职责是谱写优美的音乐，为民众制造欢愉，为文化带来美的感受。现在你们的生活与我有关了，我会像姐姐一样帮助你们。,,
#,21,Servant3,,,22,可是他真的能够举起武器吗？他真的能够带给我们安定的日子吗？……,,
#,22,Servant2,,,23,现在知道把责任揽在自己身上了？但一位素来无能无为的皇子，不足以让我信服！不，与她相比，我要为殿下报仇！与她相比，任何一位皇子都不足以当上我们国家的君主！,,
#,23,Servant1,,,24,回去吧，小王子，我们的清晨与黑夜，都与你无关。,,
#,24,Maid,,右,E,……主人，准备迎战吧。,,
