ID,跳转,标志,关卡,位置,条件,人物,立绘,立绘位置,内容,CG,看过吗
10000,10001,#,1-0,#E,,,,,城堡的结构错综复杂，自建国之初便在不规则地"生长"。房间之间由门扉连接。,,
10001,10002,#,1-0,,,,,,只有进入一个房间，才能知晓与之相邻的区域，并规划您的路线。,,
10002,10003,#,1-0,,,,,,记住回去的路，在抵达真相之前，我们或许会卷入许多不必要的纷争……请善用您能找到的一切道具。,,
10003,10007,#,1-5,#E,112@1+Maid&0,Heart,,左,关上门时，我好像听到一声极轻极轻的笑。,,
10004,10005,#,1-5,#E,112@1+Maid&1,Heart,,左,Maid，你关上门时，我好像听到一声极轻极轻的笑。,,
10005,10006,#,1-5,#E,111@1+Maid&1,Maid,,右,……Diamond殿下，知道的或许更多。,,
10006,10009,#,1-5,,,Maid,,右,主人，您看见了吗，那个女仆身上的伤痕——他只需要额外轻轻一拧，那个可怜的女仆身首就会分离，——甚至不用弄脏自己的手。他的嫌疑太大了。,,
10007,10008,#,1-5,#E,111@1+Maid&0,Heart,,左,……Diamond，大哥，知道的或许更多。,,
10008,10009,#,1-5,,,Heart,,左,那个女仆身上的伤痕——他只需要额外轻轻一拧，那个可怜的女仆身首就会分离，——甚至不用弄脏自己的手。他的嫌疑太大了。,,
10009,10011&10013,&,1-5,,Maid&1,,,,对的,,
10010,10015,&,1-5,,,,,,不对,,
10011,10012,#,1-5,,,Heart,,左,是的，我也发现了。……但是我们需要时间和证据。,,
10012,E,#,1-5,,,Heart,,左,继续寻找吧。,,
10013,10014,#,1-5,,,Heart,,左,……但是我们需要时间和证据。,,
10014,E,#,1-5,,,Heart,,左,继续寻找吧。,,
10015,10016,#,1-5,,,Heart,,左,哥说话的语气不像杀死姐姐的凶手——但他一定还知道些什么。,,
10016,E,#,1-5,,,Heart,,左,明天大选，我们还会相见，到时候再旁敲侧击吧。,,
