ID,跳转,标志,关卡,人物,人物立绘,立绘位置,条件,东西,效果,内容,看过吗,只能看一次
20000,20001,#,1-0,,,,,信件,,发现一封未封口的信件。,,1
20001,E,%,,,,,,,,"（空白的收信人一栏）：
Club殿下已经回宫，你这时来询问她的反应，使我有点手忙脚乱。我只能在角落悄悄给你写信：
她在宫里大发雷霆，因为房间里没有任何能摔的杂物更加生气。她在外面奔波埋伏，杀死众多弱不禁风的外族，发现国家最大的敌人竟然在宫内，就在众多精英朝夕相处的城堡内……以我之所见，那套世袭的规则，无人再将其奉为不可违背的旨命了。
（信到这里结束，似乎还没完成。）",,
20002,20003,#,1-1,,,,,水井,,"一口古井。
水系相连，母亲河的血管遍布国土，养育一切生物，无处不在。
据说往里投入壳币，有可能获得回礼。",,
20003,,&,,,,,,,money+-3,投入3壳币,,
20004,E,&,,,,,,,,离开,,
20005,E,#,,,,,,,,水漫了上来，什么都没得到。,,
20006,E,#,,,,,,,money++6,清脆的碰撞的声响，水呈上了6壳币。,,
20007,E,#,,,,,,,blood+a++5,一股温暖涌遍全身，全队恢复5点血量。,,
20008,20009,#,,,,,,,,一张纸条？水尚未腐蚀它。,,
20009,E,%,,,,,,,,我饿了。,,
20010,20011,#,,,,,,装饰,,为了大选，特意悬挂在房间里的装饰。大选是POKER国极其重要的政治节日，确认上一任国王已逝或失踪后，在紧邻的下一个特殊节点，所有房间的通道会向大厅开放，这一天所有公民齐聚于此，投票选出继位的新王。,,
20011,E,#,,,,,,,,上一任国王，也就是他们的父亲，和近几届国王一样——以失踪告别自己的统治，国家事务经历了一段空窗期，三位宰相运营颇为吃力。而Spade就在这时主动介入了民生与管理事务，为机关运作提供了很大的帮助。,,
20012,20013,%,1-1,,,,,架子,,"《城堡建筑规划》
详细整理了自建国以来，有信息余留的城堡修建工作。最开始城堡只是一座巨型废墟，不规则的空间相隔，由盘亘交错的通道连接，每隔一天通道的两端会发生偏移，但这种改变并非随机，在一段更长的固定时间内有迹可循，原理过于复杂而未能充分论述。现在所看到的城堡，坚实平直的房间，都是每年修整开拓的结果。",,1
20013,E,%,,,,,,,,圣育池是最古老的城堡设施，位于城堡的中心，随后由此作为王宫的一端，延伸修筑了所有相连频次最高的房间。还有一大片区域等待开发。,,
20014,E,#,1-2,,,,,,,设计得非常精妙的传声器，利用了信息素介质传播声波信号，与整个休息室不太契合。从上下达的命令应当有更奢华的容器，尽管只是游离于人以外的声波符号，也比另一些人尊贵。,,
20015,E,#,1-2,,,,,摇篮,,一颗还未孵化的茧，此刻静静躺在摇篮里。这是所有POKER国人生命最初的形态，高低贵贱在这一刻就得以区分——这个孩子一出生就会被称为Servant，与其他仆人一样的名字，因为它只有Servant的品级，祖先认为这样才能使有所长之人有所用，代代相传至今。但一年份孕育的胚胎，真的就能决定一辈子的成就吗？,,
20016,E,#,1-3,,,,,展示柜-甲壳,,边境虫族的甲壳。它们的肉体结构与我们相似，但甲壳极其坚硬，历久不腐。被视为低等威胁，由历代Q相或武将清剿。,,
20017,E,#,1-3,,,,,展示柜-兵器,,古代冷兵器。由黄铜——一种便于提取且较为坚固的金属铸造，用久后会变钝。厮杀与鲜血的痕迹，证明着往昔的荣耀。,,
20018,E,#,1-3,,,,,展示柜-挂毯,,编织挂毯，上面印有褐藻的图案，史前的POKER人为祈祷丰收手工制作而成。现在看来仍然精美，但没有人会因拥有一块挂毯，就相信口腹之欲能被满足了。,,
