Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition
Start,0,Heart,bianren,左,1,城堡内部的迁移令人琢磨不透，这是哥哥的房间吗？,,,
#,1,,,,2,这个房间装修豪华，但刚走进门，一股奇异的感觉就涌了上来，——有一团黏液状的、只能被身体感受到的空气顺着四肢缓缓攀附、抬升，直到淹没头顶，伴随着幻觉般嗡嗡的噪声。屋内的家具崭新光亮，但拜访位置和款式与记忆中并无二致——房间的主人是一个念旧的人，或者很注意外表的人。,,,
#,2,Maid,jinzhang,右,3,……主人，小心行事。,,,ally_Maid_health>0
#,3,,,,4,房间里还有两个人，一个女仆抱着托盘浑身战栗；一个高大的、神情阴郁的男人双腿交叠，坐在高背椅里，刘海半遮住他的眼睛，周身漂浮着白色的骨质碎片——那与壳币是相同的材料，如卫星般绕着他缓缓转动。刘海长到半遮住他的眼睛，无法确定那其间有什么样的情绪，但使人本能感受到恐惧，完全未知他下一步的想法、行动……那已经超出正常的认知范畴。,,,
#,4,Diamond,unhappy,右,5,把她带走吧。,,,
#,5,,,,6,两个戴着兜帽的人走了进来，把这个女仆架走了，与闯入者擦肩而过。Heart瞟过她裸露的后颈，上面有几道明显的裂缝和歪扭的纺线，像是头颈分离又缝合好，反复许许多多次留下的疤痕。她本人似乎恨不得更快一些离开这里，尽管出门后同样会受到惩罚——总比这个魔鬼亲自施行好太多。,,,
#,6,Heart,ding,左,7,（兜帽……是密教徒？）,,,
#,7,Diamond,happy,右,8,你好，Heart，我亲爱的兄弟，坐吧。你还好吗？,,,
#,8,Heart,normal,左,9,……你好，——哥。,,,
#,9,Heart,fan,左,10,（好陌生的音节……那是我发出的声音吗？）,,,
#,10,,,,11,Diamond并没有完全听清弟弟在说什么，但至少他现在看起来心情不错，见到Heart以后，表情舒缓了不少，甚至带上了一点笑意。周身的碎片运动速度变慢了。,,,
#,11,Diamond,weiqu,右,12,Heart，你许久不来看我，怎么都不会叫哥哥了？,,,
#,12,Heart,fans,左,13,我早就不用叠词了，……哥。,,,
#,13,Diamond,happy,右,14,不用紧张，亲爱的兄弟，按照你喜欢的方式称呼我就好。,,,
#,14,Diamond,happy,右,15,——哥，哥哥，兄长，或者直呼其名叫我Diamond？随你心意。,,,
#,15,Diamond,weiqu,右,16,真怀念啊，以前和你相处的时光——,,,
#,16,Diamond,normal,右,17,还记得你六岁那年吗？那天天气很好，天空纯白宁静，我带着你在城堡里四处探索，就像今天晚上的你一样——什么都不知道，对什么都充满好奇。,,,
#,17,Diamond,normal,右,18,你从大厅选择了一扇门打开，它通向了裁衣间。女工们忙着赶制新衣，钩针闪亮的光泽随着她们灵巧翻飞的手指，满屋子流动，我们溜到桌子底下去，把成衣的尾摆剪成小人形状。你哼着轻快的三拍子舞曲，我们牵着布片的小人随之舞动，在成堆的蕾丝、布料围成的舞池里翩翩旋转，——你还记得吗，Heart？,,,
#,18,Heart,chouchang,左,19,……记得。我还说那是第一届宫廷舞会，后面也没有再办的契机。,,,
#,19,Heart,sad,左,20,——童年过去得太快，我也不是小孩子了。,,,
#,20,Diamond,smile,右,21,……亲爱的，话又说回来，你怎么突然走到这里来啦？,,,
#,21,Heart,ding,左,22,姐姐被人杀害了，我想找出杀死她的凶手，秘密一定就藏在城堡之内。,,,
#,22,Diamond,pibei,右,23,是吗，姐姐……,,,
#,23,Diamond,weiqu,右,24,你总是提到姐姐，姐姐，Spade，哦——这显得你我之间可真生分。,,,
#,24,Diamond,happy,右,25,你知道吗，Heart，你可以一直当一个无忧无虑的小孩，只要有我在——我能给你的并不比Spade少。你可以继续做你喜欢的事，没有人会催促你，不像你那个贴身女仆。我还会举办更多节日、舞会，一切让你觉得热闹开心的活动。比如说——,,,
#,25,,,,26,他艰难地将嘴角扯出一点幅度，几枚碎片拎着两块布匹小人，突然出现在两人中间。,,,
#,26,Diamond,smile,右,27,比如说，第二届宫廷舞会，今天举行。,,,
#,27,,,,28,两个小人相互彬彬有礼地鞠了一躬，还向周围致意，仿佛有一大帮在场的观众，随后它们牵着手，在天光下跳起舞来，脚步轻快。,,,
#,28,,,,29,这些碎片应该能无形中替他做很多事——固然，当年指腹下操纵的它们没有这般轻盈与自由，想象中的情形已经从指缝间轻柔地滑落，成为一道永恒的伤疤。天色殷红，导致比起怀旧、场面更像生死相离的诀别。,,,
#,29,Heart,fan,左,30,……,,,
@,30,,,,33,领受这份突如其来的亲近,,,
@,31,,,,42,开门见山，直接道出目的,,,
@,32,,,,33,委婉地说明目的,,,
#,33,Heart,chouchang,左,34,……哥，其实那次你失踪，又奇迹般回来以后，我试着找过你。,,,
#,34,Heart,biyan,左,35,只是我推开的每一扇门，都不是你的房间。,,,
#,35,Heart,sad,左,36,接近你时，总让我觉得陌生——好像你不再是你自己了。自那以后你总是低着头穿行在城堡里，POKER很少刮大风，大风也从未穿堂过房间，但你身边的碎片总是纷飞着，像风暴，像一场连绵不绝的降雨，阻隔在你与世界之间。,,,
#,36,Heart,jingyas,左,37,"你以前从来不伤害别人，哪怕是低贱的奴仆……
……我能问，你失踪的时候发生了什么吗？",,,
#,37,,black,,38,仿佛受到某种惊吓，他勉强佩戴在脸上的笑意如同被狂风撕碎的薄纱，骤然消失。他猛地抖了一下，原本温顺的碎片像是被投入石子的平静湖面，开始疯狂地增殖、躁动，相互碰撞发出细碎的声响。他猛地将脸深深埋入双臂之间，长发垂落，遮住了一切表情。,,,
#,38,Heart,jingyal,左,39,？！！,,,
#,39,,sadblack,,40,Diamond突然抬起头，双眼在刘海的阴影下闪烁着异常的光芒，周围的碎片如同暴风雪般狂舞。,,,
#,40,Diamond,fazuo,右,41,出去……出去！,,,
#,41,Maid,jinzhang,右,E,主人……退到我身后！快走！,,,Maid_health>0
#,42,Heart,ding,左,43,……哥，我在找姐姐留下的痕迹和杀死姐姐的凶手。如果你知道相关的事，可以告诉我吗？,,,
#,43,Diamond,fazuo,右,44,她，不配……不，我是说她不应该被杀。,,,
#,44,Diamond,sikao,右,45,有关她为什么被取走头颅，我并不知情。这几天我未曾出过房间一步。,,,
#,45,Diamond,pibei,右,46,亲爱的弟弟，我最近身体不好。你也知道我和她并不熟络，你问错人啦。,,,
#,46,Diamond,pibei,右,47,而且，明天正是大选的日子……我要准备肩负这一切了，我会得到的。,,,
#,47,,,,48,他用手扶住额头，露出眼下的乌青，看起来饱受失眠的折磨，很久没有休息好。,,,
#,48,Heart,bianren,左,49,"（城堡里关于大哥的传言，我也有所耳闻——
——关于那次失踪后罹患的奇怪病症和获得的、操纵碎片的能力。天知道这些碎片是从哪来的？方片的禀赋会有这般强大吗？）",,,
#,49,Heart,chouchang,左,50,哥，你好好休息，照顾好自己。,,,
#,50,Diamond,pibei,右,51,如果你着急的话——先别急，把这杯水喝完吧，要多喝水——就先走吧。,,,
#,51,Diamond,pibei,右,52,我是该多休息一下。是的。是的。是的……不要听，不要看，不要说……,,,
#,52,Diamond,sikao,右,53,不送你了，你走吧，走吧！,,,
#,53,Diamond,angry,右,54,切记一定不要走到城堡的中心，一定不要随便打开大厅的门，任何一扇都不行。只有宫廷现在使用的房间是安全的。小心虫子，小心Club，如果她伤害你，你就来找我。我会杀了她的。你要好好地，我也好好地，我们永远在一起。,,,
#,54,Heart,normal,左,55,（……还是不要告诉他已经见过Club了。）,,,
@,55,,,,57,普通地道别,,,
@,56,,,,58,叫他哥哥,,,
#,57,Heart,normal,左,,……好的，再见了，哥。,,,
#,58,Heart,smile,左,,……好的，再见了，哥哥。,,,
Exploration,59,,,,E,[离开],,,
